,Cause,Type,Year,Data Redundancy,Total Deaths,Source,Page at Source,Source URL,CategorizeCause
182,"Penyulit kehamilan, persalinan dan masa nifas lainnya",Bencana Non Alam dan Penyakit,2005,1,214,Profil Kesehatan Indonesia Tahun 2005,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
183,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2010,1,206,Profil Kesehatan Indonesia Tahun 2016,191,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Infeksi Hewan
184,Kehamilan yang berakhir abortus,Bencana Non Alam dan Penyakit,2006,1,205,Profil Kesehatan Indonesia Tahun 2006,24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
185,Gangguan Mental & Perilaku,Bencana Non Alam dan Penyakit,2008,1,204,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gangguan Mental & Perilaku
186,Penyakit Kulit & Jaringan Subkutan,Bencana Non Alam dan Penyakit,2005,1,201,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Kulit & Jaringan Subkutan
187,Eklamsia dan preeklamsia,Bencana Non Alam dan Penyakit,2005,1,197,Profil Kesehatan Indonesia Tahun 2005,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
188,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2009,1,195,Profil Kesehatan Indonesia Tahun 2016,191,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Infeksi Hewan
189,Penyakit Kulit & Jaringan Subkutan,Bencana Non Alam dan Penyakit,2006,1,189,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Kulit & Jaringan Subkutan
190,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2011,1,184,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
191,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2000,1,183,Profil Kesehatan Indonesia Tahun 2006,40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Tetanus
192,Kondisi lain yang bermula pada masa perinatal,Bencana Non Alam dan Penyakit,2004,1,170,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
193,Tanah Longsor,Bencana Alam,2005,1,170,Profil Kesehatan Indonesia Tahun 2005,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Banjir & Tanah longsor
194,Tanah Longsor,Bencana Alam,2016,1,168,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Banjir & Tanah longsor
195,Dispepsia,Bencana Non Alam dan Penyakit,2010,1,166,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Gangguan Pencernaan
196,Eklamsia dan preeklamsia,Bencana Non Alam dan Penyakit,2006,1,166,Profil Kesehatan Indonesia Tahun 2006,24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
197,Gangguan Mental & Perilaku,Bencana Non Alam dan Penyakit,2005,1,164,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gangguan Mental & Perilaku
198,Infeksi Saluran Napas Bagian Atas Akut Lainnya,Bencana Non Alam dan Penyakit,2009,1,162,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit Nafas
199,Leptospirosis,Bencana Non Alam dan Penyakit,2018,1,148,Profil Kesehatan Indonesia Tahun 2019,Lampiran 67.d,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
200,Eklamsia dan preeklamsia,Bencana Non Alam dan Penyakit,2004,1,145,Profil Kesehatan Indonesia Tahun 2004,19,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
201,KLB Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2015,1,144,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Demam Berdarah
202,Banjir,Bencana Alam,2007,1,140,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Banjir & Tanah longsor
203,Infeksi khusus lainnya pada masa perinatal,Bencana Non Alam dan Penyakit,2005,1,138,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
204,Infeksi khusus lainnya pada masa perinatal,Bencana Non Alam dan Penyakit,2004,1,137,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
205,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2012,1,137,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
206,Leptospirosis,Bencana Non Alam dan Penyakit,2017,1,136,Profil Kesehatan Indonesia Tahun 2019,Lampiran 67.d,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
207,Tanah Longsor,Bencana Alam,2010,1,131,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Banjir & Tanah longsor
208,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2006,1,129,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kecelakaan
209,Penyakit Darah & Organ Pembuat Darah & Gangguan tertentu yang Melibatkan Mekanisme Imun,Bencana Non Alam dan Penyakit,2006,1,129,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit sistem sirkulasi darah
210,Diare,Bencana Non Alam dan Penyakit,2003,1,128,Profil Kesehatan Indonesia Tahun 2006,44,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Diare
211,KLB Diare,Bencana Non Alam dan Penyakit,2003,1,128,Profil Kesehatan Indonesia Tahun 2008,46,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Diare
212,Banjir Bandang,Bencana Alam,2009,1,127,Profil Kesehatan Indonesia Tahun 2009,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Banjir & Tanah longsor
213,KLB Diare,Bencana Non Alam dan Penyakit,2005,1,127,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Diare
214,Penyakit Mata dan Adneksa,Bencana Non Alam dan Penyakit,2008,1,123,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Mata dan Adneksa
215,Tanah Longsor,Bencana Alam,2006,1,123,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Banjir & Tanah longsor
216,Leptospirosis,Bencana Non Alam dan Penyakit,2019,1,122,Profil Kesehatan Indonesia Tahun 2019,Lampiran 67.d,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
217,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2013,1,119,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
218,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2015,1,118,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
219,Infeksi khusus lainnya pada masa perinatal,Bencana Non Alam dan Penyakit,2006,1,117,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
220,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2019,1,115,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
221,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2018,1,111,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
222,Banjir Bandang,Bencana Alam,2019,1,109,Profil Kesehatan Indonesia Tahun 2019,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Banjir & Tanah longsor
223,KLB Diare,Bencana Non Alam dan Penyakit,2000,1,109,Profil Kesehatan Indonesia Tahun 2008,46,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Diare
224,Penyakit Telinga dan Pros. Mastoideus,Bencana Non Alam dan Penyakit,2008,1,109,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Telinga dan Pros. Mastoideus
225,Banjir,Bencana Alam,2006,1,108,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Banjir & Tanah longsor
226,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2017,1,108,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
227,Gempa Bumi,Bencana Alam,2016,1,107,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Tsunami dan gempa bumi
228,Tanah Longsor,Bencana Alam,2008,1,103,Profil Kesehatan Indonesia Tahun 2008,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Banjir & Tanah longsor
229,AIDS,Bencana Non Alam dan Penyakit,2002,1,100,Profil Kesehatan Indonesia Tahun 2004,78,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,AIDS
230,KLB Diare,Bencana Non Alam dan Penyakit,2001,1,100,Profil Kesehatan Indonesia Tahun 2008,46,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Diare
231,KLB Diare,Bencana Non Alam dan Penyakit,2009,1,100,Profil Kesehatan Indonesia Tahun 2016,170,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Diare
232,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2001,1,100,Profil Kesehatan Indonesia Tahun 2006,40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Tetanus
233,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2008,1,100,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Tetanus
234,AIDS,Bencana Non Alam dan Penyakit,2001,1,99,Profil Kesehatan Indonesia Tahun 2004,78,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,AIDS
235,Gempa Bumi,Bencana Alam,2007,1,99,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Tsunami dan gempa bumi
236,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2016,1,99,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
237,Banjir dan Tanah Longsor,Bencana Alam,2019,1,98,Profil Kesehatan Indonesia Tahun 2019,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Banjir & Tanah longsor
238,Rabies - Lyssa,Bencana Non Alam dan Penyakit,2014,1,98,Profil Kesehatan Indonesia Tahun 2019,204,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Infeksi Hewan
239,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2003,1,98,Profil Kesehatan Indonesia Tahun 2006,40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Tetanus
240,Tanah Longsor,Bencana Alam,2015,1,96,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Banjir & Tanah longsor
241,Kehamilan yang berakhir abortus,Bencana Non Alam dan Penyakit,2005,1,95,Profil Kesehatan Indonesia Tahun 2005,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
242,Diare,Bencana Non Alam dan Penyakit,2002,1,94,Profil Kesehatan Indonesia Tahun 2006,44,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Diare
243,KLB Diare,Bencana Non Alam dan Penyakit,2002,1,94,Profil Kesehatan Indonesia Tahun 2008,46,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Diare
244,KLB Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2005,1,91,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Demam Berdarah
245,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2002,1,91,Profil Kesehatan Indonesia Tahun 2006,40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Tetanus
246,Kebakaran,Bencana Non Alam dan Penyakit,2012,1,88,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Kebakaran
247,KLB Dengue High Fever,Bencana Non Alam dan Penyakit,2004,1,87,Profil Kesehatan Indonesia Tahun 2004,Lampiran 3.14,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Demam Berdarah
248,Tanah Longsor,Bencana Alam,2011,1,84,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Banjir & Tanah longsor
249,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2010,1,84,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.23,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Tetanus
250,Kejadian Luar Biasa (KLB) - Penyakit,Bencana Non Alam dan Penyakit,2018,1,82,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,KLB
251,Leptospirosis,Bencana Non Alam dan Penyakit,2011,1,82,Profil Kesehatan Indonesia Tahun 2018,238,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Infeksi Hewan
252,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2005,1,82,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Tetanus
253,Banjir Bandang,Bencana Alam,2016,1,81,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Banjir & Tanah longsor
254,Difteri,Bencana Non Alam dan Penyakit,2012,1,76,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Penyakit Nafas
255,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2009,1,76,Profil Kesehatan Indonesia Tahun 2009,45,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Tetanus
256,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2007,1,74,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.16b,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Tetanus
257,KLB Diare,Bencana Non Alam dan Penyakit,2010,1,73,Profil Kesehatan Indonesia Tahun 2017,179,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Diare
258,Tanah Longsor,Bencana Alam,2009,1,73,Profil Kesehatan Indonesia Tahun 2009,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Banjir & Tanah longsor
259,KLB Diare,Bencana Non Alam dan Penyakit,2007,1,72,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.34,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Diare
260,Letusan Gunung Api,Bencana Alam,2017,1,71,Profil Kesehatan Indonesia Tahun 2017,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Gunung Berapi
261,Perdarahan pasca persalinan,Bencana Non Alam dan Penyakit,2005,1,71,Profil Kesehatan Indonesia Tahun 2005,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
262,Kecelakaan Transportasi Darat,Bencana Non Alam dan Penyakit,2019,1,69,Profil Kesehatan Indonesia Tahun 2019,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Kecelakaan
263,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2011,1,69,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.23,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Tetanus
264,Kejadian Luar Biasa (KLB) - Penyakit,Bencana Non Alam dan Penyakit,2015,1,66,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,KLB
265,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2007,1,65,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Kecelakaan
266,Konflik Sosial,Bencana Sosial,2012,1,65,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Konflik Sosial
267,Leptospirosis,Bencana Non Alam dan Penyakit,2015,1,65,Profil Kesehatan Indonesia Tahun 2018,238,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Infeksi Hewan
268,Gempa Bumi,Bencana Alam,2019,1,64,Profil Kesehatan Indonesia Tahun 2019,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Tsunami dan gempa bumi
269,Kebakaran,Bencana Non Alam dan Penyakit,2015,1,62,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Kebakaran
270,Leptospirosis,Bencana Non Alam dan Penyakit,2016,1,62,Profil Kesehatan Indonesia Tahun 2018,238,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Infeksi Hewan
271,Leptospirosis,Bencana Non Alam dan Penyakit,2014,1,61,Profil Kesehatan Indonesia Tahun 2018,238,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Infeksi Hewan
272,Leptospirosis,Bencana Non Alam dan Penyakit,2013,1,60,Profil Kesehatan Indonesia Tahun 2018,238,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Infeksi Hewan
273,Tetanus Neonatorium,Bencana Non Alam dan Penyakit,2012,1,59,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Tetanus
274,Banjir,Bencana Alam,2008,1,58,Profil Kesehatan Indonesia Tahun 2008,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Banjir & Tanah longsor
275,KLB,Bencana Non Alam dan Penyakit,2008,1,58,Profil Kesehatan Indonesia Tahun 2008,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,KLB
276,Cedera lahir,Bencana Non Alam dan Penyakit,2006,1,57,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
277,Banjir Bandang,Bencana Alam,2011,1,55,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Banjir & Tanah longsor
278,Leptospirosis,Bencana Non Alam dan Penyakit,2007,1,55,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Infeksi Hewan
279,Tanah Longsor,Bencana Alam,2012,1,54,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Banjir & Tanah longsor
